url_id,candidate,item,src_group,dest_group,domain,n_src,n_sink,per_lane,src_tiles,src_widths,sink_widths,offends
universe-matrix,output-products,magnet,magnet#21,magnetic-coil#22,unsprayed,1,2,2,18,"[18]","[4, 8]",no
universe-matrix,output-products,magnetic-coil,magnetic-coil#22,electric-motor#8,unsprayed,1,1,1,8,"[8]","[20]",no
universe-matrix,output-products,magnetic-coil,magnetic-coil#22,electromagnetic-matrix#9,unsprayed,1,1,1,8,"[8]","[18]",no
universe-matrix,output-products,magnetic-coil,magnetic-coil#22,electromagnetic-turbine#10,unsprayed,1,1,1,4,"[4]","[12]",no
universe-matrix,output-products,microcrystalline-component,microcrystalline-component#24,processor#30,unsprayed,2,1,1,12,"[12, 16]","[20]",no
universe-matrix,output-products,particle-broadband,particle-broadband#25,information-matrix#19,unsprayed,1,2,2,20,"[20]","[24, 24]",no
universe-matrix,output-products,particle-container,particle-container#26,strange-matter#32,unsprayed,1,1,1,12,"[12]","[40]",no
universe-matrix,output-products,plane-filter,plane-filter#27,quantum-chip#31,unsprayed,2,1,1,12,"[12, 16]","[8]",no
universe-matrix,output-products,plastic,plastic#29,particle-broadband#25,unsprayed,1,1,1,16,"[16]","[20]",no
universe-matrix,output-products,processor,processor#30,information-matrix#19,unsprayed,1,2,2,20,"[20]","[24, 24]",no
universe-matrix,output-products,processor,processor#30,quantum-chip#31,unsprayed,1,1,1,20,"[20]","[8]",no
universe-matrix,output-products,quantum-chip,quantum-chip#31,gravity-matrix#17,unsprayed,1,2,2,8,"[8]","[30, 30]",no
universe-matrix,output-products,refined-oil,plasma-refining#28,plastic#29,unsprayed,2,1,1,14,"[14, 14]","[16]",no
universe-matrix,output-products,strange-matter,strange-matter#32,graviton-lens#16,unsprayed,1,1,1,40,"[40]","[8]",no
universe-matrix,output-products,structure-matrix,structure-matrix#33,universe-matrix#37,requires-spray,2,12,6,18,"[18, 24]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,output-products,titanium-crystal,titanium-crystal#34,casimir-crystal#1,unsprayed,1,1,1,20,"[20]","[12]",no
universe-matrix,output-products,titanium-crystal,titanium-crystal#34,structure-matrix#33,unsprayed,1,2,2,20,"[20]","[18, 24]",no
universe-matrix,output-products,titanium-glass,titanium-glass#35,plane-filter#27,unsprayed,1,2,2,12,"[12]","[12, 16]",no
universe-matrix,output-products,titanium-ingot,titanium-ingot#36,carbon-nanotube#0,unsprayed,2,1,1,12,"[12, 12]","[16]",no
universe-matrix,output-products,titanium-ingot,titanium-ingot#36,titanium-crystal#34,unsprayed,2,1,1,12,"[12, 12]","[20]",no
universe-matrix,output-products,titanium-ingot,titanium-ingot#36,titanium-glass#35,unsprayed,2,1,1,12,"[12, 12]","[12]",no
